Almut,Shiozawa,Tusi,YangAnemicHSCs,Singh.Tg6,WilsonMolO,MPP2_Pietras,MPP3_Pietras,MPP4_Pietras,Yang_active_HSCs,Yang_Quiescent_HSCs,Yang_HSCs,Yang_MPP1,Yang S Phase,Yang G1S Phase,Yang G2M ,Yang Refined G2M,Yang Quiescent,Nina_dHSCs,Nina_aHSCs,Nina_mpp1
,,,,Ninl,,,,,,,,,,,,,,,,
,,,,4833439L19Rik,,,,,,,,,,,,,,,,
,,,,Dnajc6,,,,,,,,,,,,,,,,
,,,,Rbmx2,,,,,,,,,,,,,,,,
,,,,B3gnt3,,,,,,,,,,,,,,,,
,,,,Ctsd,,,,,,,,,,,,,,,,
,,,,Rabgef1,,,,,,,,,,,,,,,,
,,,,Fn1,,,,,,,,,,,,,,,,
,,,,Armc1,,,,,,,,,,,,,,,,
,,,,Pold3,,,,,,,,,,,,,,,,
,,,,Rad17,,,,,,,,,,,,,,,,
,,,,Th1l,,,,,,,,,,,,,,,,
,,,,Ogdh,,,,,,,,,,,,,,,,
,,,,2810474O19Rik,,,,,,,,,,,,,,,,
,,,,P2ry1,,,,,,,,,,,,,,,,
,,,,Vps35,,,,,,,,,,,,,,,,
,,,,Helq,,,,,,,,,,,,,,,,
,,,,Slfn9,,,,,,,,,,,,,,,,
,,,,Nolc1,,,,,,,,,,,,,,,,
,,,,Slc25a10,,,,,,,,,,,,,,,,
,,,,Golim4,,,,,,,,,,,,,,,,
,,,,Glo1,,,,,,,,,,,,,,,,
,,,,Csrp1,,,,,,,,,,,,,,,,
,,,,3110043O21Rik,,,,,,,,,,,,,,,,
,,,,Eif2s2,,,,,,,,,,,,,,,,
,,,,Pias4,,,,,,,,,,,,,,,,
,,,,Nlrx1,,,,,,,,,,,,,,,,
,,,,Mbnl3,,,,,,,,,,,,,,,,
,,,,Gm7887,,,,,,,,,,,,,,,,
,,,,Pilrb1,,,,,,,,,,,,,,,,
,,,,AC153939.1,,,,,,,,,,,,,,,,
,,,,Dynll1,,,,,,,,,,,,,,,,
,,,,Cenpo,,,,,,,,,,,,,,,,
,,,,Rhbdd1,,,,,,,,,,,,,,,,
,,,,1500001M20Rik,,,,,,,,,,,,,,,,
,,,,Supt4h1,,,,,,,,,,,,,,,,
,,,,Hn1l,,,,,,,,,,,,,,,,
,,,,Alg9,,,,,,,,,,,,,,,,
,,,,Fancl,,,,,,,,,,,,,,,,
,,,,Zcchc6,,,,,,,,,,,,,,,,
,,,,Lpl,,,,,,,,,,,,,,,,
,,,,Hax1,,,,,,,,,,,,,,,,
,,,,Eif4e,,,,,,,,,,,,,,,,
,,,,Mrpl20,,,,,,,,,,,,,,,,
,,,,Dedd2,,,,,,,,,,,,,,,,
,,,,Slc5a3,,,,,,,,,,,,,,,,
,,,,Ube2d3,,,,,,,,,,,,,,,,
,,,,Gm8522,,,,,,,,,,,,,,,,
,,,,Agpat4,,,,,,,,,,,,,,,,
,,,,Ostf1,,,,,,,,,,,,,,,,
,,,,Mgat5,,,,,,,,,,,,,,,,
,,,,Uba2,,,,,,,,,,,,,,,,
,,,,4632419I22Rik,,,,,,,,,,,,,,,,
,,,,Gm2223,,,,,,,,,,,,,,,,
,,,,Ccdc123,,,,,,,,,,,,,,,,
,,,,Mtf1,,,,,,,,,,,,,,,,
,,,,Nup133,,,,,,,,,,,,,,,,
,,,,Tonsl,,,,,,,,,,,,,,,,
,,,,Ubb,,,,,,,,,,,,,,,,
,,,,Raly,,,,,,,,,,,,,,,,
,,,,Abtb1,,,,,,,,,,,,,,,,
,,,,Nup210,,,,,,,,,,,,,,,,
,,,,Eml2,,,,,,,,,,,,,,,,
,,,,Mettl4,,,,,,,,,,,,,,,,
,,,,AC125523.1,,,,,,,,,,,,,,,,
,,,,Rad51l1,,,,,,,,,,,,,,,,
,,,,Kctd20,,,,,,,,,,,,,,,,
,,,,Cdca7,,,,,,,,,,,,,,,,
,,,,Slc31a1,,,,,,,,,,,,,,,,
,,,,Hfe,,,,,,,,,,,,,,,,
,,,,Pnpt1,,,,,,,,,,,,,,,,
,,,,Pcna,,,,,,,,,,,,,,,,
,,,,Tssc1,,,,,,,,,,,,,,,,
,,,,Skiv2l2,,,,,,,,,,,,,,,,
,,,,Nupl1,,,,,,,,,,,,,,,,
,,,,Actl6a,,,,,,,,,,,,,,,,
,,,,Tmem9b,,,,,,,,,,,,,,,,
,,,,Lysmd3,,,,,,,,,,,,,,,,
,,,,Lilrb3,,,,,,,,,,,,,,,,
,,,,Apip,,,,,,,,,,,,,,,,
,,,,Psmd13,,,,,,,,,,,,,,,,
,,,,Tmem9,,,,,,,,,,,,,,,,
,,,,Exosc8,,,,,,,,,,,,,,,,
,,,,Nup85,,,,,,,,,,,,,,,,
,,,,1700029F09Rik,,,,,,,,,,,,,,,,
,,,,1110049F12Rik,,,,,,,,,,,,,,,,
,,,,Becn1,,,,,,,,,,,,,,,,
,,,,Gemin6,,,,,,,,,,,,,,,,
,,,,Gm166,,,,,,,,,,,,,,,,
,,,,Abce1,,,,,,,,,,,,,,,,
,,,,Cse1l,,,,,,,,,,,,,,,,
,,,,Ms4a8a,,,,,,,,,,,,,,,,
,,,,Cenpc1,,,,,,,,,,,,,,,,
,,,,Taco1,,,,,,,,,,,,,,,,
,,,,Adk,,,,,,,,,,,,,,,,
,,,,Cchcr1,,,,,,,,,,,,,,,,
,,,,Snrnp25,,,,,,,,,,,,,,,,
,,,,Tnrc6b,,,,,,,,,,,,,,,,
,,,,Gm11224,,,,,,,,,,,,,,,,
,,,,Dhfr,,,,,,,,,,,,,,,,
,,,,Aldh1a7,,,,,,,,,,,,,,,,
,,,,Pstpip2,,,,,,,,,,,,,,,,
,,,,Psmd1,,,,,,,,,,,,,,,,
,,,,Fabp5,,,,,,,,,,,,,,,,
,,,,Pqlc1,,,,,,,,,,,,,,,,
,,,,Gm4204,,,,,,,,,,,,,,,,
,,,,Cyb5r3,,,,,,,,,,,,,,,,
,,,,Ankfy1,,,,,,,,,,,,,,,,
,,,,A430005L14Rik,,,,,,,,,,,,,,,,
,,,,Cep70,,,,,,,,,,,,,,,,
,,,,Crnkl1,,,,,,,,,,,,,,,,
,,,,Plac8,,,,,,,,,,,,,,,,
,,,,Eftud2,,,,,,,,,,,,,,,,
,,,,Ube2r2,,,,,,,,,,,,,,,,
,,,,Cnot1,,,,,,,,,,,,,,,,
,,,,Cenpj,,,,,,,,,,,,,,,,
,,,,Gtf2e2,,,,,,,,,,,,,,,,
,,,,Arf2,,,,,,,,,,,,,,,,
,,,,Dnase1l1,,,,,,,,,,,,,,,,
,,,,Tomm22,,,,,,,,,,,,,,,,
,,,,Mycbp,,,,,,,,,,,,,,,,
,,,,Zcwpw1,,,,,,,,,,,,,,,,
,,,,Znhit3,,,,,,,,,,,,,,,,
,,,,Sla,,,,,,,,,,,,,,,,
,,,,Gm4737,,,,,,,,,,,,,,,,
,,,,Naa50,,,,,,,,,,,,,,,,
,,,,Etfa,,,,,,,,,,,,,,,,
,,,,Usp37,,,,,,,,,,,,,,,,
,,,,Cdk5rap2,,,,,,,,,,,,,,,,
,,,,Tdp1,,,,,,,,,,,,,,,,
,,,,Eif1ad,,,,,,,,,,,,,,,,
,,,,Rbm3,,,,,,,,,,,,,,,,
,,,,Nudcd1,,,,,,,,,,,,,,,,
,,,,Zfp800,,,,,,,,,,,,,,,,
,,,,D16H22S680E,,,,,,,,,,,,,,,,
,,,,BC017158,,,,,,,,,,,,,,,,
,,,,Tlr7,,,,,,,,,,,,,,,,
,,,,Dlst,,,,,,,,,,,,,,,,
,,,,Cdt1,,,,,,,,,,,,,,,,
,,,,Sp2,,,,,,,,,,,,,,,,
,,,,Taldo1,,,,,,,,,,,,,,,,
,,,,Mmgt1,,,,,,,,,,,,,,,,
,,,,3200002M19Rik,,,,,,,,,,,,,,,,
,,,,Prps1,,,,,,,,,,,,,,,,
,,,,Cir1,,,,,,,,,,,,,,,,
,,,,Psmc3,,,,,,,,,,,,,,,,
,,,,Lrdd,,,,,,,,,,,,,,,,
,,,,Aqp9,,,,,,,,,,,,,,,,
,,,,Tcea1,,,,,,,,,,,,,,,,
,,,,Cdc42ep3,,,,,,,,,,,,,,,,
,,,,Nup88,,,,,,,,,,,,,,,,
,,,,Fpr1,,,,,,,,,,,,,,,,
,,,,1200014J11Rik,,,,,,,,,,,,,,,,
,,,,Ctss,,,,,,,,,,,,,,,,
,,,,Fnip2,,,,,,,,,,,,,,,,
,,,,Clasp1,,,,,,,,,,,,,,,,
,,,,Lars,,,,,,,,,,,,,,,,
,,,,Srsf10,,,,,,,,,,,,,,,,
,,,,Ppat,,,,,,,,,,,,,,,,
,,,,Tcea1-ps1,,,,,,,,,,,,,,,,
,,,,Adam8,,,,,,,,,,,,,,,,
,,,,Nsf,,,,,,,,,,,,,,,,
,,,,Gm15453,,,,,,,,,,,,,,,,
,,,,Gm19807,,,,,,,,,,,,,,,,
,,,,Zfand2b,,,,,,,,,,,,,,,,
,,,,5830415F09Rik,,,,,,,,,,,,,,,,
,,,,Sertad2,,,,,,,,,,,,,,,,
,,,,Aarsd1,,,,,,,,,,,,,,,,
,,,,Lsm2,,,,,,,,,,,,,,,,
,,,,Chst10,,,,,,,,,,,,,,,,
,,,,Mad1l1,,,,,,,,,,,,,,,,
,,,,Pms2,,,,,,,,,,,,,,,,
,,,,Syce2,,,,,,,,,,,,,,,,
,,,,Zdhhc6,,,,,,,,,,,,,,,,
,,,,Npat,,,,,,,,,,,,,,,,
,,,,Tmem33,,,,,,,,,,,,,,,,
,,,,4930503L19Rik,,,,,,,,,,,,,,,,
,,,,Ltn1,,,,,,,,,,,,,,,,
,,,,Pde6d,,,,,,,,,,,,,,,,
,,,,H2-DMb2,,,,,,,,,,,,,,,,
,,,,Tardbp,,,,,,,,,,,,,,,,
,,,,6030458C11Rik,,,,,,,,,,,,,,,,
,,,,Hyou1,,,,,,,,,,,,,,,,
,,,,Nptn,,,,,,,,,,,,,,,,
,,,,Mier3,,,,,,,,,,,,,,,,
,,,,Pdik1l,,,,,,,,,,,,,,,,
,,,,4930422G04Rik,,,,,,,,,,,,,,,,
,,,,Reep5,,,,,,,,,,,,,,,,
,,,,Slc15a2,,,,,,,,,,,,,,,,
,,,,Wdr76,,,,,,,,,,,,,,,,
,,,,Gm7535,,,,,,,,,,,,,,,,
,,,,Ran,,,,,,,,,,,,,,,,
,,,,Gpr146,,,,,,,,,,,,,,,,
,,,,Thoc3,,,,,,,,,,,,,,,,
,,,,Kdm5c,,,,,,,,,,,,,,,,
,,,,Ndufs1,,,,,,,,,,,,,,,,
,,,,Zfp39,,,,,,,,,,,,,,,,
,,,,Mta2,,,,,,,,,,,,,,,,
,,,,Mapk1ip1l,,,,,,,,,,,,,,,,
,,,,Slc22a3,,,,,,,,,,,,,,,,
,,,,Gabpb2,,,,,,,,,,,,,,,,
,,,,Tcp1,,,,,,,,,,,,,,,,
,,,,Gm9733,,,,,,,,,,,,,,,,
,,,,Atp2b4,,,,,,,,,,,,,,,,
,,,,Tbc1d24,,,,,,,,,,,,,,,,
,,,,Slx4,,,,,,,,,,,,,,,,
,,,,Add3,,,,,,,,,,,,,,,,
,,,,Nudt9,,,,,,,,,,,,,,,,
,,,,Slc26a2,,,,,,,,,,,,,,,,
,,,,Acaa2,,,,,,,,,,,,,,,,
,,,,Wdr55,,,,,,,,,,,,,,,,
,,,,Ranbp1,,,,,,,,,,,,,,,,
,,,,Dclre1b,,,,,,,,,,,,,,,,
,,,,Hcfc1,,,,,,,,,,,,,,,,
,,,,Mphosph9,,,,,,,,,,,,,,,,
,,,,Fam125b,,,,,,,,,,,,,,,,
,,,,Atl2,,,,,,,,,,,,,,,,
,,,,Ccdc23,,,,,,,,,,,,,,,,
,,,,Ergic2,,,,,,,,,,,,,,,,
,,,,Aaas,,,,,,,,,,,,,,,,
,,,,Setd8,,,,,,,,,,,,,,,,
,,,,Dbr1,,,,,,,,,,,,,,,,
,,,,Fig4,,,,,,,,,,,,,,,,
,,,,Cd47,,,,,,,,,,,,,,,,
,,,,Tubb5,,,,,,,,,,,,,,,,
,,,,Cox11,,,,,,,,,,,,,,,,
,,,,Pip4k2a,,,,,,,,,,,,,,,,
,,,,Fam134c,,,,,,,,,,,,,,,,
,,,,Slc30a9,,,,,,,,,,,,,,,,
,,,,Usp4,,,,,,,,,,,,,,,,
,,,,Hmgn1,,,,,,,,,,,,,,,,
,,,,Tmed9,,,,,,,,,,,,,,,,
,,,,Lrrc40,,,,,,,,,,,,,,,,
,,,,Gm12420,,,,,,,,,,,,,,,,
,,,,Rps19bp1,,,,,,,,,,,,,,,,
,,,,Itpa,,,,,,,,,,,,,,,,
,,,,Mdh2,,,,,,,,,,,,,,,,
,,,,Dars2,,,,,,,,,,,,,,,,
,,,,Ipp,,,,,,,,,,,,,,,,
,,,,Tmem184c,,,,,,,,,,,,,,,,
,,,,Hp,,,,,,,,,,,,,,,,
,,,,Znfx1,,,,,,,,,,,,,,,,
,,,,Sep-08,,,,,,,,,,,,,,,,
,,,,Aldh18a1,,,,,,,,,,,,,,,,
,,,,Taf9,,,,,,,,,,,,,,,,
,,,,Ncaph2,,,,,,,,,,,,,,,,
,,,,Gtf2e1,,,,,,,,,,,,,,,,
,,,,Pilrb2,,,,,,,,,,,,,,,,
,,,,Gpn2,,,,,,,,,,,,,,,,
,,,,Ywhah,,,,,,,,,,,,,,,,
,,,,Asprv1,,,,,,,,,,,,,,,,
,,,,S1pr2,,,,,,,,,,,,,,,,
,,,,Dnajb11,,,,,,,,,,,,,,,,
,,,,Ahcy,,,,,,,,,,,,,,,,
,,,,Ranbp2,,,,,,,,,,,,,,,,
,,,,Rqcd1,,,,,,,,,,,,,,,,
,,,,Zdhhc5,,,,,,,,,,,,,,,,
,,,,Tube1,,,,,,,,,,,,,,,,
,,,,Rpgrip1l,,,,,,,,,,,,,,,,
,,,,Foxn2,,,,,,,,,,,,,,,,
,,,,Micall2,,,,,,,,,,,,,,,,
,,,,Gm6055,,,,,,,,,,,,,,,,
,,,,Purb,,,,,,,,,,,,,,,,
,,,,Rab10,,,,,,,,,,,,,,,,
,,,,Pole3,,,,,,,,,,,,,,,,
,,,,Eif5a,,,,,,,,,,,,,,,,
,,,,Kif5b,,,,,,,,,,,,,,,,
,,,,Gfm1,,,,,,,,,,,,,,,,
,,,,Slc6a13,,,,,,,,,,,,,,,,
,,,,Itgal,,,,,,,,,,,,,,,,
,,,,Mar-05,,,,,,,,,,,,,,,,
,,,,Cs,,,,,,,,,,,,,,,,
,,,,Psmd9,,,,,,,,,,,,,,,,
,,,,Bag2,,,,,,,,,,,,,,,,
,,,,Prdm10,,,,,,,,,,,,,,,,
,,,,Tubgcp6,,,,,,,,,,,,,,,,
,,,,Angptl4,,,,,,,,,,,,,,,,
,,,,Mdc1,,,,,,,,,,,,,,,,
,,,,Cdkn1b,,,,,,,,,,,,,,,,
,,,,Fam38a,,,,,,,,,,,,,,,,
,,,,Phf6,,,,,,,,,,,,,,,,
,,,,Cib1,,,,,,,,,,,,,,,,
,,,,Agpat5,,,,,,,,,,,,,,,,
,,,,Tgtp2,,,,,,,,,,,,,,,,
,,,,Acss2,,,,,,,,,,,,,,,,
,,,,Exosc3,,,,,,,,,,,,,,,,
,,,,Gm14016,,,,,,,,,,,,,,,,
,,,,Gm14078,,,,,,,,,,,,,,,,
,,,,1110034A24Rik,,,,,,,,,,,,,,,,
,,,,Vcl,,,,,,,,,,,,,,,,
,,,,Kctd7,,,,,,,,,,,,,,,,
,,,,Adam10,,,,,,,,,,,,,,,,
,,,,Mta3,,,,,,,,,,,,,,,,
,,,,Stk11,,,,,,,,,,,,,,,,
,,,,Rab5c,,,,,,,,,,,,,,,,
,,,,Depdc5,,,,,,,,,,,,,,,,
,,,,Gm9769,,,,,,,,,,,,,,,,
,,,,Zmym1,,,,,,,,,,,,,,,,
,,,,Gpx4,,,,,,,,,,,,,,,,
,,,,Wrn,,,,,,,,,,,,,,,,
,,,,Gm16039,,,,,,,,,,,,,,,,
,,,,Ikzf1,,,,,,,,,,,,,,,,
,,,,Dcaf6,,,,,,,,,,,,,,,,
,,,,Clta,,,,,,,,,,,,,,,,
,,,,Obfc1,,,,,,,,,,,,,,,,
,,,,Atp11c,,,,,,,,,,,,,,,,
,,,,Mrgpra2b,,,,,,,,,,,,,,,,
,,,,Nudt5,,,,,,,,,,,,,,,,
,,,,Nup35,,,,,,,,,,,,,,,,
,,,,Gatm,,,,,,,,,,,,,,,,
,,,,Ddx26b,,,,,,,,,,,,,,,,
,,,,1810037I17Rik,,,,,,,,,,,,,,,,
,,,,H3f3a,,,,,,,,,,,,,,,,
,,,,Itpripl1,,,,,,,,,,,,,,,,
,,,,Gm12020,,,,,,,,,,,,,,,,
,,,,Psap,,,,,,,,,,,,,,,,
,,,,Pcmt1,,,,,,,,,,,,,,,,
,,,,Zwint,,,,,,,,,,,,,,,,
,,,,Oas3,,,,,,,,,,,,,,,,
,,,,Dse,,,,,,,,,,,,,,,,
,,,,Ifi47,,,,,,,,,,,,,,,,
,,,,Gm15770,,,,,,,,,,,,,,,,
,,,,Gm4707,,,,,,,,,,,,,,,,
,,,,Coro1c,,,,,,,,,,,,,,,,
,,,,Ift80,,,,,,,,,,,,,,,,
,,,,C1galt1,,,,,,,,,,,,,,,,
,,,,Phf5a,,,,,,,,,,,,,,,,
,,,,Coq3,,,,,,,,,,,,,,,,
,,,,Snrnp200,,,,,,,,,,,,,,,,
,,,,Tnfaip2,,,,,,,,,,,,,,,,
,,,,Stag2,,,,,,,,,,,,,,,,
,,,,Gm9761,,,,,,,,,,,,,,,,
,,,,Uevld,,,,,,,,,,,,,,,,
,,,,Mif4gd,,,,,,,,,,,,,,,,
,,,,Far1,,,,,,,,,,,,,,,,
,,,,Mnd1,,,,,,,,,,,,,,,,
,,,,Tsfm,,,,,,,,,,,,,,,,
,,,,Cpsf2,,,,,,,,,,,,,,,,
,,,,Itgb2,,,,,,,,,,,,,,,,
,,,,Rhoa,,,,,,,,,,,,,,,,
,,,,Tfg,,,,,,,,,,,,,,,,
,,,,Terf1,,,,,,,,,,,,,,,,
,,,,Mtmr3,,,,,,,,,,,,,,,,
,,,,Ptgir,,,,,,,,,,,,,,,,
,,,,B430306N03Rik,,,,,,,,,,,,,,,,
,,,,Gm13509,,,,,,,,,,,,,,,,
,,,,Cmpk2,,,,,,,,,,,,,,,,
,,,,Lat2,,,,,,,,,,,,,,,,
,,,,Clec5a,,,,,,,,,,,,,,,,
,,,,Gm7327,,,,,,,,,,,,,,,,
,,,,Tgtp1,,,,,,,,,,,,,,,,
,,,,Gm13803,,,,,,,,,,,,,,,,
,,,,Gabpa,,,,,,,,,,,,,,,,
,,,,Psmc5,,,,,,,,,,,,,,,,
,,,,Etf1,,,,,,,,,,,,,,,,
,,,,Dolpp1,,,,,,,,,,,,,,,,
,,,,Cep57,,,,,,,,,,,,,,,,
,,,,Akap7,,,,,,,,,,,,,,,,
,,,,Hnrnpf,,,,,,,,,,,,,,,,
,,,,Mdm4,,,,,,,,,,,,,,,,
,,,,Xlr4a,,,,,,,,,,,,,,,,
,,,,Ap3m1,,,,,,,,,,,,,,,,
,,,,G2e3,,,,,,,,,,,,,,,,
,,,,Rtel1,,,,,,,,,,,,,,,,
,,,,Gm7180,,,,,,,,,,,,,,,,
,,,,Gm13886,,,,,,,,,,,,,,,,
,,,,Smg5,,,,,,,,,,,,,,,,
,,,,Eif3c,,,,,,,,,,,,,,,,
,,,,Exoc6,,,,,,,,,,,,,,,,
,,,,Ddx27,,,,,,,,,,,,,,,,
,,,,Atl3,,,,,,,,,,,,,,,,
,,,,Ndufaf4,,,,,,,,,,,,,,,,
,,,,Nans,,,,,,,,,,,,,,,,
,,,,Fam173b,,,,,,,,,,,,,,,,
,,,,Gm8185,,,,,,,,,,,,,,,,
,,,,Srp54a,,,,,,,,,,,,,,,,
,,,,Spata5,,,,,,,,,,,,,,,,
,,,,Wdr91,,,,,,,,,,,,,,,,
,,,,Cdyl,,,,,,,,,,,,,,,,
,,,,Itpa-ps1,,,,,,,,,,,,,,,,
,,,,Eif2c2,,,,,,,,,,,,,,,,
,,,,Ccdc132,,,,,,,,,,,,,,,,
,,,,Eef1e1,,,,,,,,,,,,,,,,
,,,,Trp53inp1,,,,,,,,,,,,,,,,
,,,,Crispld2,,,,,,,,,,,,,,,,
,,,,Gm15459,,,,,,,,,,,,,,,,
,,,,Hnrnpa2b1,,,,,,,,,,,,,,,,
,,,,Psmc6,,,,,,,,,,,,,,,,
,,,,Dus1l,,,,,,,,,,,,,,,,
,,,,Itga4,,,,,,,,,,,,,,,,
,,,,Vbp1,,,,,,,,,,,,,,,,
,,,,Zw10,,,,,,,,,,,,,,,,
,,,,Bcas3,,,,,,,,,,,,,,,,
,,,,Gm10110,,,,,,,,,,,,,,,,
,,,,Hck,,,,,,,,,,,,,,,,
,,,,Dram1,,,,,,,,,,,,,,,,
,,,,Pfas,,,,,,,,,,,,,,,,
,,,,Naa40,,,,,,,,,,,,,,,,
,,,,Btrc,,,,,,,,,,,,,,,,
,,,,Plcl2,,,,,,,,,,,,,,,,
,,,,Calr,,,,,,,,,,,,,,,,
,,,,Rpe,,,,,,,,,,,,,,,,
,,,,Ubap1,,,,,,,,,,,,,,,,
,,,,Gm5578,,,,,,,,,,,,,,,,
,,,,Tradd,,,,,,,,,,,,,,,,
,,,,Phf16,,,,,,,,,,,,,,,,
,,,,Foxm1,,,,,,,,,,,,,,,,
,,,,Aff1,,,,,,,,,,,,,,,,
,,,,Cd300lf,,,,,,,,,,,,,,,,
,,,,Nhsl2,,,,,,,,,,,,,,,,
,,,,Herpud1,,,,,,,,,,,,,,,,
,,,,Xrn1,,,,,,,,,,,,,,,,
,,,,Zfp445,,,,,,,,,,,,,,,,
,,,,Cops2,,,,,,,,,,,,,,,,
,,,,Rbmxl1,,,,,,,,,,,,,,,,
,,,,Taf9,,,,,,,,,,,,,,,,
,,,,Napa,,,,,,,,,,,,,,,,
,,,,Mphosph10,,,,,,,,,,,,,,,,
,,,,Agrn,,,,,,,,,,,,,,,,
,,,,Hjurp,,,,,,,,,,,,,,,,
,,,,Suox,,,,,,,,,,,,,,,,
,,,,Scoc,,,,,,,,,,,,,,,,
,,,,Ttc9c,,,,,,,,,,,,,,,,
,,,,Ddb1,,,,,,,,,,,,,,,,
,,,,Clec4e,,,,,,,,,,,,,,,,
,,,,Med8,,,,,,,,,,,,,,,,
,,,,Brd4,,,,,,,,,,,,,,,,
,,,,Usp2,,,,,,,,,,,,,,,,
,,,,Cntrob,,,,,,,,,,,,,,,,
,,,,Uchl4,,,,,,,,,,,,,,,,
,,,,Tsr1,,,,,,,,,,,,,,,,
,,,,Gm13910,,,,,,,,,,,,,,,,
,,,,Gtf2f2,,,,,,,,,,,,,,,,
,,,,Gm14857,,,,,,,,,,,,,,,,
,,,,Lgals9,,,,,,,,,,,,,,,,
,,,,Gtf2h1,,,,,,,,,,,,,,,,
,,,,Chfr,,,,,,,,,,,,,,,,
,,,,Slco3a1,,,,,,,,,,,,,,,,
,,,,Mtch2,,,,,,,,,,,,,,,,
,,,,Rnf11,,,,,,,,,,,,,,,,
,,,,Oaz1,,,,,,,,,,,,,,,,
,,,,CT573034.1,,,,,,,,,,,,,,,,
,,,,Mar-01,,,,,,,,,,,,,,,,
,,,,Wdr34,,,,,,,,,,,,,,,,
,,,,Gm12141,,,,,,,,,,,,,,,,
,,,,Cul2,,,,,,,,,,,,,,,,
,,,,Cnr2,,,,,,,,,,,,,,,,
,,,,Eif4g2,,,,,,,,,,,,,,,,
,,,,Pnp,,,,,,,,,,,,,,,,
,,,,Prpf19,,,,,,,,,,,,,,,,
,,,,Nudt19,,,,,,,,,,,,,,,,
,,,,Ube4a,,,,,,,,,,,,,,,,
,,,,Ndufv1,,,,,,,,,,,,,,,,
,,,,Asb6,,,,,,,,,,,,,,,,
,,,,Eef1d,,,,,,,,,,,,,,,,
,,,,Ezh2,,,,,,,,,,,,,,,,
,,,,Ctsc,,,,,,,,,,,,,,,,
,,,,2310008H04Rik,,,,,,,,,,,,,,,,
,,,,Timm8a1,,,,,,,,,,,,,,,,
,,,,Tor1aip2,,,,,,,,,,,,,,,,
,,,,Etfdh,,,,,,,,,,,,,,,,
,,,,Fntb,,,,,,,,,,,,,,,,
,,,,Larp1,,,,,,,,,,,,,,,,
,,,,Adamts3,,,,,,,,,,,,,,,,
,,,,Acbd5,,,,,,,,,,,,,,,,
,,,,Gm12231,,,,,,,,,,,,,,,,
,,,,Fryl,,,,,,,,,,,,,,,,
,,,,Rraga,,,,,,,,,,,,,,,,
,,,,Gm13503,,,,,,,,,,,,,,,,
,,,,Jmjd5,,,,,,,,,,,,,,,,
,,,,Dnahc8,,,,,,,,,,,,,,,,
,,,,Nup214,,,,,,,,,,,,,,,,
,,,,Rtn4ip1,,,,,,,,,,,,,,,,
,,,,Sell,,,,,,,,,,,,,,,,
,,,,Sephs1,,,,,,,,,,,,,,,,
,,,,Prpf40a,,,,,,,,,,,,,,,,
,,,,Zfp382,,,,,,,,,,,,,,,,
,,,,Hsp90b1,,,,,,,,,,,,,,,,
,,,,Xpo4,,,,,,,,,,,,,,,,
,,,,Brp44,,,,,,,,,,,,,,,,
,,,,Mrpl18,,,,,,,,,,,,,,,,
,,,,Sip1,,,,,,,,,,,,,,,,
,,,,Tmc8,,,,,,,,,,,,,,,,
,,,,Cd177,,,,,,,,,,,,,,,,
,,,,R3hdm1,,,,,,,,,,,,,,,,
,,,,Sep-11,,,,,,,,,,,,,,,,
,,,,Derl1,,,,,,,,,,,,,,,,
,,,,H2-Aa,,,,,,,,,,,,,,,,
,,,,Dhx38,,,,,,,,,,,,,,,,
,,,,1500032L24Rik,,,,,,,,,,,,,,,,
,,,,Sec23b,,,,,,,,,,,,,,,,
,,,,Exosc9,,,,,,,,,,,,,,,,
,,,,Xpo5,,,,,,,,,,,,,,,,
,,,,Eif1,,,,,,,,,,,,,,,,
,,,,Nxt1,,,,,,,,,,,,,,,,
,,,,Rnf14,,,,,,,,,,,,,,,,
,,,,Gm5898,,,,,,,,,,,,,,,,
,,,,Tbrg4,,,,,,,,,,,,,,,,
,,,,Eif2b3,,,,,,,,,,,,,,,,
,,,,Psma2,,,,,,,,,,,,,,,,
,,,,Csf1r,,,,,,,,,,,,,,,,
,,,,Ormdl2,,,,,,,,,,,,,,,,
,,,,Tubgcp2,,,,,,,,,,,,,,,,
,,,,Nmral1,,,,,,,,,,,,,,,,
,,,,AC113287.1,,,,,,,,,,,,,,,,
,,,,Ap4e1,,,,,,,,,,,,,,,,
,,,,Prpf3,,,,,,,,,,,,,,,,
,,,,Cdk12,,,,,,,,,,,,,,,,
,,,,Xk,,,,,,,,,,,,,,,,
,,,,Xrcc3,,,,,,,,,,,,,,,,
,,,,Cd55,,,,,,,,,,,,,,,,
,,,,Mis12,,,,,,,,,,,,,,,,
,,,,Bend4,,,,,,,,,,,,,,,,
,,,,Dlat,,,,,,,,,,,,,,,,
,,,,Tecpr2,,,,,,,,,,,,,,,,
,,,,Xrcc2,,,,,,,,,,,,,,,,
,,,,Tmem97,,,,,,,,,,,,,,,,
,,,,Mars2,,,,,,,,,,,,,,,,
,,,,Actn4,,,,,,,,,,,,,,,,
,,,,Wdr35,,,,,,,,,,,,,,,,
,,,,Igtp,,,,,,,,,,,,,,,,
,,,,Gm11652,,,,,,,,,,,,,,,,
,,,,Rnf8,,,,,,,,,,,,,,,,
,,,,Tbl2,,,,,,,,,,,,,,,,
,,,,Med22,,,,,,,,,,,,,,,,
,,,,Ddx21,,,,,,,,,,,,,,,,
,,,,Ppil1,,,,,,,,,,,,,,,,
,,,,Cmas,,,,,,,,,,,,,,,,
